Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Tipo_accidente,Muertes SI/NO,# Muertes,Clase de Accidente
01/27/2022 12:00:00 AM,A001371876,CARRERA 23 # 9 74,No registra,2,1,HERIDOS,0,0,CHOQUE
44774,C-0088589,KILOMETRO 44+800 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,3,0,DA�OS MATERIALES,0,0,CHOQUE
01/25/2022 12:00:00 AM,C-001437191,KILOMETRO 46+500 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,0,0,CHOQUE
44622,A001371879,CARRERA 45 FRENTE 14 - 46,No registra,2,0,DA�OS MATERIALES,0,0,CHOQUE
44653,A001371880,MANZANA C CASA 21   NUEVA JERUSALEN,NUEVA JERUSALEN,2,0,DA�OS MATERIALES,0,0,CHOQUE
44683,A001371881,CARRERA 14 CALLE 17   SAN CRISTOBAL,SAN CRISTOBAL,2,2,HERIDOS,0,0,CHOQUE
44744,A001371882,CARRERA 18 CON  8 INTERSECCIÓN,No registra,2,0,DA�OS MATERIALES,0,0,CHOQUE
44775,A001371883,KILOMETRO 7+700   VÍA DINAMARCA,No registra,2,0,DA�OS MATERIALES,0,0,CHOQUE
44867,A001371884,CARRERA 23 # 9 - 15,No registra,2,0,DA�OS MATERIALES,0,0,CHOQUE
44897,A001371885,KILOMETRO 0+500      SANTA TERESITA,No registra,2,0,MUERTOS,1,3,CHOQUE
02/13/2022 12:00:00 AM,A001371886,CALLE 15 CARRERA 21,No registra,2,1,HERIDOS,0,0,CHOQUE
02/15/2022 12:00:00 AM,A001371888,KILOMETRO 0+400     VÍA ANTIGUA GUAMAL,VÍA ANTIGUA GUAMAL,1,1,MUERTOS,1,1,CHOQUE
44897,A001371887,CARRERA 31 # 14 - 46,No registra,2,2,HERIDOS,0,0,ATROPELLO
02/17/2022 12:00:00 AM,A001371889,CALLE 18 # 17 - 20 MANCERA,MANCERA,1,1,HERIDOS,0,0,CHOQUE
02/18/2022 12:00:00 AM,A001371890,KILOMETRO 22+880     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,3,0,DA�OS MATERIALES,0,0,CHOQUE
02/18/2022 12:00:00 AM,A001371891,CARRERA 23 CALLE 17   MANCERA,MANCERA,2,1,HERIDOS,0,0,CHOQUE
02/20/2022 12:00:00 AM,A001371893,CARRERA 17 # 21 - 49,No registra,1,0,DA�OS MATERIALES,0,0,CHOQUE
02/19/2022 12:00:00 AM,A001371894,KILOMETRO 20+200      PUERTO CANECAS,No registra,1,0,DA�OS MATERIALES,0,0,CHOQUE
02/19/2022 12:00:00 AM,A001371892,CARRERA 14 # 19 - 13 SAN CRISTOBAL,SAN CRISTOBAL,2,1,HERIDOS,0,0,CHOQUE
02/21/2022 12:00:00 AM,A001371895,CALLE 11 CARRERA 26,No registra,2,2,HERIDOS,0,0,CHOQUE
02/21/2022 12:00:00 AM,A001371896,CALLE 16 # 47 - 3 COLINAS,COLINAS,2,4,HERIDOS,0,0,CHOQUE
02/22/2022 12:00:00 AM,A001371897,CALLE 25 # 20 - 3 GUARATARA,GUARATARA,1,3,HERIDOS,0,0,ATROPELLO
02/22/2022 12:00:00 AM,A001371898,CARRERA 14 # 18 - 29 SAN CRISTOBAL,SAN CRISTOBAL,2,2,HERIDOS,0,0,CHOQUE
02/26/2022 12:00:00 AM,A001371900,CARRERA 30 # 22A - 20 LA ORQUIDEA REAL,LA ORQUIDEA REAL,2,2,HERIDOS,0,0,CHOQUE
02/23/2022 12:00:00 AM,A001371899,CARRERA 45B # 16,No registra,2,1,HERIDOS,0,0,CHOQUE
